,State,Weighted_score,Higher,Urban Rate,Literacy,Density,FM Ratio
0,ANDAMAN & NICOBAR ISLANDS,0.6200819687882042,0.4889923266685294,-0.0455940795288606,1.141008496139079,-0.4430159076461828,0.8836093721531703
1,ANDHRA PRADESH,-0.46955511106352643,-0.01142435571769197,-0.2463485452452046,-0.9046679190682972,-0.33034465593613604,-0.5364673256116897
2,ARUNACHAL PRADESH,-0.9136723344938741,-0.8525352211036417,-0.7288212072465023,-1.419297490166328,-0.45548715306447046,-0.6024951628543009
3,ASSAM,-0.6183186372021514,-1.0333052425351523,-1.1378557794909685,-0.7084380577744083,-0.2916407908448986,0.19800203399162197
4,BIHAR,-1.4881346492466336,-1.3161521947942942,-1.2674257825361688,-1.9928983967279907,0.012829614539502755,-1.53199156191312
5,CHHATTISGARH,-0.9165938340533839,-1.1397461361014176,-0.7146502455946229,-0.8541566267744616,-0.3815197664456611,-1.0941373966493884
6,DADRA & NAGAR HAVELI,-0.38754317376594943,-0.1430154410575441,0.3718301391961204,-0.3015952850464953,-0.16176782131652398,-1.3793470985816616
7,GUJARAT,-0.0941103486857646,-0.3293631543973806,0.18084262468001489,0.053123774515389084,-0.33034465593613604,-0.25465012625445055
8,HARYANA,-0.16340889347992474,0.49441005378580133,-0.17626932801618161,-0.24004319268183988,-0.21638327538971464,-0.5954380924166327
9,HIMACHAL PRADESH,0.2010956201495536,1.1090759417885325,-1.3259329306311995,0.6855188025853394,-0.4099026008459019,0.26067374834517304
10,JAMMU & KASHMIR,-0.8595744037308426,-0.16562312308087143,-0.5234038352132406,-1.3034898021515107,-0.40947255790044373,-1.2754686457075366
11,JHARKHAND,-1.141767917407557,-1.0112769787129385,-0.6773513119182265,-1.3958135872775295,-0.2847601037175675,-1.5174701218731008
12,KARNATAKA,-0.015815179706101693,0.29827184958060626,-0.000791422469223924,-0.11701099383704873,-0.3256141835360959,-0.09754617257571135
13,MADHYA PRADESH,-0.9144279013500253,-1.1482894367764886,-0.5114609280003263,-0.9945901660368769,-0.361307748009126,-1.0802885879667692
14,MANIPUR,-0.016777815331941615,0.38941585223218383,-0.43856128427022534,-0.08237089899648369,-0.4077523861186109,0.1632662482446683
15,MEGHALAYA,-0.32625293527450117,-1.4262296237321406,-0.861425402280613,-0.8591110296338219,-0.40603221433677816,1.7053710938427458
16,MIZORAM,0.6990100438778166,-0.6648226516368196,0.6210987473833475,1.1385636219196837,-0.44043564997343365,1.6164413738011778
17,NAGALAND,0.019928991836996313,-0.6990499246950365,-0.4547867376464197,0.03684652585438417,-0.41162277262773467,1.0898979362652255
18,ODISHA,-0.7039921529209999,-0.9657715127731159,-1.0180089436843747,-0.4455935709050336,-0.3466862878635474,-0.6193838198848168
19,RAJASTHAN,-1.3438830777976856,-1.1464142325741766,-0.6393230002737803,-1.3634968205417628,-0.37678929404562095,-2.286511224233783
20,SIKKIM,0.029892116838535904,-0.5120502369938713,-0.626238258422023,0.6223132844356454,-0.42581418982785507,0.4054838099454051
21,TELANGANA,-0.46955511106352643,-0.01142435571769197,-0.2463485452452046,-0.9046679190682972,-0.33034465593613604,-0.5364673256116897
22,TRIPURA,0.20287209656899,-0.9359491265337493,-0.5791937820194945,1.0266632778299514,-0.3122828522268919,0.9112343372806972
23,UTTAR PRADESH,-0.9780723582595205,-0.7786108046507535,-0.7597001388362107,-1.1984915709698318,-0.10629228135241697,-1.250594815119671
24,UTTARAKHAND,-0.09246680843735548,0.3153844857160323,-0.3912138087875544,0.07995040535906862,-0.3815197664456611,-0.3298852128004632
25,WEST BENGAL,-0.15305918467921212,-0.8478196230542856,-0.31528140739466676,-0.01340299005013743,-0.020713735206236376,0.3609920284666978
26,CHANDIGARH,1.7064511032070198,2.342875770574692,2.7097396668492015,1.0230686692137267,3.5185397059146997,0.7725822516444585
27,GOA,1.2246354299010247,1.620601388418322,1.086605237610309,1.4421191453224829,-0.29336096262673134,1.0812080597588143
28,NCT OF DELHI,1.6236706318654806,1.860230584830696,2.7213392565373296,0.972042181310823,4.405288259449496,0.6901110061605031
29,DAMAN & DIU,0.8719525996060272,0.9236360703721426,1.6880232383153408,1.1562145701282662,0.4794262103616432,-0.11137903576303756
30,KERALA,1.398398411855867,1.4948723277384814,0.4170153356597311,1.9452043881419203,-0.09296095004321296,1.798917488189531
31,LAKSHADWEEP,1.184277500758633,0.08624869482215579,1.822011081492127,1.6290924447629032,0.46136440665239903,1.1848415000017285
32,MAHARASHTRA,0.4170747942322722,0.5404768080927609,0.30234316910403175,0.5873170016668092,-0.305832208045019,0.3624216617081399
33,PUDUCHERRY,1.1553084230413562,1.7029522988434216,1.3716027475918064,1.0694651802789181,0.6325214989447603,0.7397876470342596
34,PUNJAB,0.2889787840961918,0.7661747184783477,-0.05572488225174248,-0.01231000747839334,-0.2258442201897949,0.6612155291668305
35,TAMIL NADU,0.4233533113264886,0.7052542046963749,0.44926034258367387,0.5029345557221072,-0.22412404840796213,0.2134645998169393
